Categorías,,,,,,,
Inteligencia emocional,,Economía,Sociedad,Emprendimiento,Futuro,Sexual,religion
Desarrollo Personal,,Política,Seguridad,Vicios,Salud  ,Diversidad,
Finanzas,,Salud mental,Derechos,Dialogo,Educación,Feminismo,
responsabilidad social,,Medio ambiente ,Equidad de gen,Inclusión,Actualidad,Machismo,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,¿Sobre qué temas te da miedo o te sientes insegur@ de opinar? ,Categorías,,,
,,,Trabajo ,Laboral,,,
,,,Trabajo ,Laboral,,,
,,,"Trata de blancas, tráfico de menores",Seguridad,,,
,,,Un horror hablar de política. ,Política,,,
,,,Violencia ,Seguridad,,,
,,,Temas sobre la comunidad LGBTTTIQAP+,Diversidad,,,
,,,Personas con discapacidad.,Inclusión,,,
,,,"Violencia en diferentes contextos, como el trabajo.",Laboral,,,
,,,"Violencia Familiar, Inseguridad En Las Calles ",Seguridad,,,
,,,"VIOLENCIA, ACOSO",Seguridad,,,
